Kingdom,Phylum,Class,Order,Family,Genus,Species,V8,V9,V10,V11,V12,V13,V14,V15,V16
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,environmental_samples,environmental_samples_unclassified,environmental_samples_unclassified,environmental_samples_unclassified,environmental_samples_unclassified,environmental_samples_unclassified,environmental_samples_unclassified,environmental_samples_unclassified,environmental_samples_unclassified,environmental_samples_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified,Enterobacteriaceae_unclassified
